name,short,sex,country 1,country 2,line of succession,interest 1,interest 2,interest 3,interest 4,religion,type,royalhouse
Queen Silvia,QS,female,swedish,,,children and young people,education,healthcare medical and hospices,,evangelical lutheran,0,swedish
World Childhood Foundation,wcf,,swedish,,,children and young people,,,,,1,
International Mentor Foundation,imf,,swedish,,,healthcare medical and hospices,,,,,1,
Global Child Forum,gcf,,international,,,children and young people,,,,,1,
The Silvia Home,tsh,,swedish,,,healthcare medical and hospices,elderly and retired people,,,,1,
Royal Wedding Fund,rwf,,swedish,,,sport and recreation,children and young people,,,,1,
Queen Silvia Jubilee Fund,qsjf,,swedish,,,children and young people,,,,,1,
The Swedish Childhood Cancer Foundation,sccf,,swedish,,,children and young people,healthcare medical and hospices,,,,1,
Save the Children Sweden,stcs,,swedish,,,children and young people,healthcare medical and hospices,community and civic,,,1,
Victim Support Sweden,vss,,swedish,,,community and civic,,,,,1,
The Swedish Breast Cancer Association,sbca,,swedish,,,healthcare medical and hospices,,,,,1,
ECPAT Sweden,ecpat,,swedish,,,children and young people,healthcare medical and hospices,,,,1,
Ersta Diakoni,ersta,,swedish,,,healthcare medical and hospices,education,,,,1,
The Swedish Hemophilia Society,fbis,,swedish,,,healthcare medical and hospices,,,,,1,
The Friends of Drottningholm Theatre,fodt,,swedish,,,arts and culture,,,,,1,
The Association of Friends of the Artists,afa,,swedish,,,arts and culture,,,,,1,
The Friends of the Nationalmuseum,tfn,,swedish,,,arts and culture,,,,,1,
The Society of Swedish Women Artists,tsswa,,swedish,,,arts and culture,,,,,1,
Swedish Music Festivals,smf,,swedish,,,arts and culture,,,,,1,
The Swedish Childrens Heart Association,scha,,swedish,,,children and young people,healthcare medical and hospices,,,,1,
The Royal Swedish Academy of Letters History and Antiquities,rsalha,,swedish,,,history and heritage,,,,,1,
The Mayflower Charity Foundation,mcf,,swedish,,,children and young people,education,,,,1,
Operation Days Work,odw,,swedish,,,children and young people,,,,,1,
The Swedish National Association for Deaf Hearing Impaired and Language Impaired Children,snadhlc,,swedish,,,healthcare medical and hospices,,,,,1,
The Swedish National Asthma and Allergy Association,snaaa,,swedish,,,healthcare medical and hospices,,,,,1,
Queen Victorias Rest Home on Öland Foundation,qvrhöf,,swedish,,,healthcare medical and hospices,,,,,1,
The Hospice Care Foundation,hcf,,swedish,,,eldery and retired people,healthcare medical and hospices,,,,1,
