name,titel,sex,country 1,country 2,line of succession,interest 1,science and technology,social clubs,royal foundation,professional institutions,history and heritage,sport and recreation,healthcare medical and hospices,faith,built environment and architecture,business and industry,arts and culture,armed services,animals,children and young people,environment,agriculture,elderly and retired people,education,community and civic,religion,type,royalhouse
QS,Queen Silvia,female,swedish,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evangelical lutheran,0,swedish
wcf,World Childhood Foundation,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
imf,International Mentor Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
gcf,Global Child Forum,,swedish,international,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
tsh,The Silvia Home,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
rwf,Royal Wedding Fund,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
qsjf,Queen Silvia Jubilee Fund,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
sccf,The Swedish Childhood Cancer Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
stcs,Save the Children Sweden,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
vss,Victim Support Sweden,,swedish,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
sbca,The Swedish Breast Cancer Association,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
ecpat,ECPAT Sweden,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
ersta,Ersta Diakoni,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
fbis,The Swedish Hemophilia Society,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
fodt,The Friends of Drottningholm Theatre,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
afa,The Association of Friends of the Artists,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tfn,The Friends of the Nationalmuseum,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
tsswa,The Society of Swedish Women Artists,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
smf,Swedish Music Festivals,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
scha,The Swedish Childrens Heart Association,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
rsalha,The Royal Swedish Academy of Letters History and Antiquities,,swedish,,,history and heritage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
mcf,The Mayflower Charity Foundation,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
odw,Operation Days Work,,swedish,,,children and young people,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,
snadhlc,The Swedish National Association for Deaf Hearing Impaired and Language Impaired Children,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
snaaa,The Swedish National Asthma and Allergy Association,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
qvrhöf,Queen Victorias Rest Home on Öland Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
hcf,The Hospice Care Foundation,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
lssp,The Livslust Study Support Programme,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
rfspda,The Research Foundation of the Swedish Parkinsons Disease Association,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
stroke,Stroke the Association against Cerebral Cardiovascular Diseases,,swedish,,,healthcare medical and hospices,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,
sahs,The Swedish Arabian Horse Society,,swedish,,,animals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,
ds,Diakonia Sweden,,swedish,arabian,,faith,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,
sda,The Swedish Dyslexia Association,,swedish,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
saa,The Swedish Athletic Association,,swedish,,,sport and recreation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
fsfd,The Friends of Swedish Folk Dances,,swedish,,,arts and culture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,
