titel,sex,country 1,country 2,line of succession,interest 1,interest 2,interest 3,interest 4,religion,type,royalhouse,short
Queen Silvia,female,swedish,,,children and young people,education,healthcare medical and hospices,,evangelical lutheran,0,swedish,QS
World Childhood Foundation,,swedish,,,children and young people,,,,,1,,wcf
International Mentor Foundation,,swedish,,,healthcare medical and hospices,,,,,1,,imf
Global Child Forum,,international,,,children and young people,,,,,1,,gcf
The Silvia Home,,swedish,,,healthcare medical and hospices,elderly and retired people,,,,1,,tsh
Royal Wedding Fund,,swedish,,,sport and recreation,children and young people,,,,1,,rwf
Queen Silvia Jubilee Fund,,swedish,,,children and young people,,,,,1,,qsjf
The Swedish Childhood Cancer Foundation,,swedish,,,children and young people,healthcare medical and hospices,,,,1,,sccf
Save the Children Sweden,,swedish,,,children and young people,healthcare medical and hospices,community and civic,,,1,,stcs
Victim Support Sweden,,swedish,,,community and civic,,,,,1,,vss
The Swedish Breast Cancer Association,,swedish,,,healthcare medical and hospices,,,,,1,,sbca
ECPAT Sweden,,swedish,,,children and young people,healthcare medical and hospices,,,,1,,ecpat
Ersta Diakoni,,swedish,,,healthcare medical and hospices,education,,,,1,,ersta
The Swedish Hemophilia Society,,swedish,,,healthcare medical and hospices,,,,,1,,fbis
The Friends of Drottningholm Theatre,,swedish,,,arts and culture,,,,,1,,fodt
The Association of Friends of the Artists,,swedish,,,arts and culture,,,,,1,,afa
The Friends of the Nationalmuseum,,swedish,,,arts and culture,,,,,1,,tfn
The Society of Swedish Women Artists,,swedish,,,arts and culture,,,,,1,,tsswa
Swedish Music Festivals,,swedish,,,arts and culture,,,,,1,,smf
The Swedish Childrens Heart Association,,swedish,,,children and young people,healthcare medical and hospices,,,,1,,scha
The Royal Swedish Academy of Letters History and Antiquities,,swedish,,,history and heritage,,,,,1,,rsalha
The Mayflower Charity Foundation,,swedish,,,children and young people,education,,,,1,,mcf
Operation Days Work,,swedish,,,children and young people,,,,,1,,odw
The Swedish National Association for Deaf Hearing Impaired and Language Impaired Children,,swedish,,,healthcare medical and hospices,,,,,1,,snadhlc
The Swedish National Asthma and Allergy Association,,swedish,,,healthcare medical and hospices,,,,,1,,snaaa
Queen Victorias Rest Home on Öland Foundation,,swedish,,,healthcare medical and hospices,,,,,1,,qvrhöf
